StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,RelevantID_First Click,RelevantID_Last Click,RelevantID_Page Submit,RelevantID_Click Count,Consent 1,Q1,Q2,Q3,Q4,Q5,Q8,Q9_1,Q10,Q11,Q12,Q13,DV1A,DV1B,DV1C,DV1D,DV1E,DV1F,DV1H,DV1I,DV2,Q14_1,Q14_2,Q14_3,Q16_1,Q16_2,Q16_3,Q17,DV3A,DV3B,DV3C,DV4A,DV5A,DV5B,DV5C,DV5D,DV4B,Q19,Q20,Q21,trust_always,trust_never,SC0,opp,Q_TotalDuration,rid,RISN,transaction_id,expected_loi,expected_ir,gc,term,SVID,PS,Q_BallotBoxStuffing,Q_CHL,V,tg,age,LS,ClientDuration,BlockCProtestExperiment_DO,BlockEEducationExperiment1_DO,BlockFEducationExperiment2_DO,QuestionBlockG--GeneralAttitudes_DO,university_education,gender,age_group,weight_poststratify,count,sample_proportion,source.x,Freq,population_proportion,source.y,weight_manually_calculated
45482.305925925924,45482.308379629627,IP Address,100,212,True,45482.308390636572,R_8rr3emFMCiXtqQ2,anonymous,EN,1,NA,0,0,NA,0,0,1.1220000000000001,0,Подтверждаю,28,Воронежская область,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),Постоянно,Скорее согласны,Радио,Одобряю,"Подчиняться закону во всех случаях, без исключений",Владимир Путин,NA,NA,NA,5,NA,NA,NA,NA,6,Скорее не соблюдаются,Полностью не соблюдаются,Скорее не соблюдаются,Совершенно оправданно,Скорее не оправдано,Скорее не оправдано,5 Голосование влияет на ситуацию в стране,NA,Скорее поддерживаю,NA,1.5–3 часа,NA,Совершенно оправдана,NA,Скорее не поддерживаю,1.5–3 часа,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало значительно лучше, чем раньше",россии,сша,51,Qual0196-1602Russia_Wave2,212,NA,NA,0CPS3pbhK72flic0scskPR,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,28,NA,212,DV1D|DV2,DV3B|DV4A,DV5B|DV5D|DV4B,trust_always|trust_never,BA+,Woman,25-34,36057.77669902913,103,0.07274011299435028,July Survey,3713951,0.03108779999442689,Census 2020,0.4273817940981406
45482.306770833333,45482.308599537035,IP Address,100,157,True,45482.308608287036,R_2V1rRbvis7mZhZT,anonymous,EN,1,NA,0,5,NA,0,0,1.006,0,Подтверждаю,29,Республика Башкортостан,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Очень редко,"В чем-то согласны, в чем-то нет","Социальные сети и мессенджеры ,Интернет-ресурсы",Не одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Николай Харитонов,NA,NA,NA,NA,6,NA,NA,NA,7,Скорее соблюдаются,Скорее не соблюдаются,Полностью не соблюдаются,Скорее не оправдано,Скорее не оправдано,Совершенно оправданно,2,NA,NA,Скорее не поддерживаю,Меньше 45 минут,Скорее не оправдана,NA,NA,Скорее поддерживаю,Меньше 45 минут,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",вере,сайту,45,Qual0196-1602Russia_Wave2,157,NA,NA,3q56aiZ0QBMgkkm19ugjM1,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,29,NA,157,DV1E|DV2,DV3C|DV4A,DV5A|DV5D|DV4B,trust_always|trust_never,BA-,Man,25-34,186853.7435897436,39,0.02754237288135593,July Survey,7287296,0.06099865091063051,Census 2020,2.2147202484475077
45482.305821759262,45482.309108796297,IP Address,100,283,True,45482.309119942132,R_8R12wotJd7CBFfP,anonymous,EN,1,NA,0,0,NA,0,0,1.0649999999999999,0,Подтверждаю,53,Республика Башкортостан,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (бакалавриат / специалитет),Иногда,Скорее согласны,"Телевидение ,Интернет-ресурсы",Затрудняюсь ответить,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Опустил(а) недействительный бюллетень / испортил(а) или унесл(а) бюллетень,NA,NA,NA,NA,NA,Совершенно не оправданы (1),NA,NA,Крайне репрессивными (1),Затрудняюсь ответить,Скорее соблюдаются,Скорее соблюдаются,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,1 Голосование не влияет на ситуацию в стране,Определенно поддерживаю,NA,NA,45-90 минут,Полностью не оправдана,NA,NA,Определенно поддерживаю,45-90 минут,"На повседневные расходы денег достаточно, но уже покупка одежды представляет для Вас трудности","Стало значительно хуже, чем раньше","Стало немного хуже, чем раньше",Только себе,Власти,135,Qual0196-1602Russia_Wave2,283,NA,NA,7qUBaKVBExhEgvwPBf585T,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,53,NA,283,DV1F|DV2,DV3A|DV4A,DV5A|DV5D|DV4B,trust_always|trust_never,BA+,Man,45-54,46197.19047619047,42,0.029661016949152543,July Survey,1940282,0.016241220939314113,Census 2020,0.5475611630968759
45482.306145833332,45482.309201388889,IP Address,100,263,True,45482.309214270834,R_8pogUlwCUyPYXaK,anonymous,EN,1,NA,0,0,NA,0,0,1.0089999999999999,0,Подтверждаю,32,Москва,Москва,Мужской,"Законченное среднее образование (школа, лицей, гимназия)",Очень редко,Отказ от ответа,Социальные сети и мессенджеры,Отказ от ответа,Отказ от ответа,Не участвовал(а) в выборах,NA,NA,NA,NA,Отказ от ответа,NA,NA,NA,Отказ от ответа,Отказ от ответа,Отказ от ответа,Отказ от ответа,Отказ от ответа,Отказ от ответа,Отказ от ответа,Отказ от ответа,NA,Отказ от ответа,NA,Отказ от ответа,Отказ от ответа,NA,NA,Отказ от ответа,Отказ от ответа,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало значительно хуже, чем раньше",Отказ от ответа,Правде,Лжецам,453,Qual0196-1602Russia_Wave2,263,NA,NA,79JX6x3vr1F7vJ6CtSnApg,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,32,NA,263,DV1E|DV2,DV3B|DV4A,DV5A|DV5D|DV4B,trust_never|trust_always,BA-,Man,25-34,186853.7435897436,39,0.02754237288135593,July Survey,7287296,0.06099865091063051,Census 2020,2.2147202484475077
45482.306527777779,45482.309282407405,IP Address,100,238,True,45482.309291793979,R_8Kx20mLvKYwreuV,anonymous,EN,1,NA,0,0,NA,0,0,1.1140000000000001,0,Подтверждаю,37,Санкт-Петербург,Санкт-Петербург,Мужской,Высшее образование (магистратура),Иногда,"В чем-то согласны, в чем-то нет","Телевидение ,Социальные сети и мессенджеры ,Газеты и журналы (в т.ч. их электронные версии) ,Интернет-ресурсы",Не одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Опустил(а) недействительный бюллетень / испортил(а) или унесл(а) бюллетень,NA,5,NA,NA,NA,NA,NA,NA,4,Скорее не соблюдаются,Скорее не соблюдаются,Скорее не соблюдаются,Совершенно оправданно,Скорее не оправдано,Скорее не оправдано,2,Скорее поддерживаю,NA,NA,45-90 минут,NA,Скорее оправдана,NA,Скорее поддерживаю,45-90 минут,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше",Практически ничего не изменилось,совести,политикам,104,Qual0196-1602Russia_Wave2,238,NA,NA,2N15icM0Iv19T5BWsJhY6H,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,37,NA,238,DV1B|DV2,DV3A|DV4A,DV5B|DV5D|DV4B,trust_never|trust_always,BA+,Man,35-44,130683.79166666669,24,0.01694915254237288,July Survey,3136411,0.026253474498807453,Census 2020,1.5489549954296398
45482.306643518517,45482.309444444443,IP Address,100,242,True,45482.309458900461,R_2jYWZLeCvihxtWj,anonymous,EN,1,NA,0,0,NA,0,0,1.024,0,Подтверждаю,33,Москва,Москва,Женский,"Научная степень (кандидат, доктор наук)",Иногда,Совершенно согласны,"Телевидение ,Социальные сети и мессенджеры ,Интернет-ресурсы",Одобряю,"Подчиняться закону во всех случаях, без исключений",Владимир Путин,NA,NA,NA,Совершенно не оправданы (1),NA,NA,NA,NA,3,Скорее соблюдаются,Скорее соблюдаются,Полностью соблюдаются,Затрудняюсь ответить,Затрудняюсь ответить,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,NA,Скорее поддерживаю,NA,Меньше 45 минут,Скорее оправдана,NA,NA,Скорее поддерживаю,Меньше 45 минут,В настоящее время Вы можете практически ни в чем себе не отказывать,"Стало значительно лучше, чем раньше","Стало немного лучше, чем раньше",Себе,Чужим,90,Qual0196-1602Russia_Wave2,242,NA,NA,1UeK0kgK6fEcuxNAbGPlU3,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,33,NA,242,DV1D|DV2,DV3B|DV4A,DV5A|DV5D|DV4B,trust_always|trust_never,BA+,Woman,25-34,36057.77669902913,103,0.07274011299435028,July Survey,3713951,0.03108779999442689,Census 2020,0.4273817940981406
45482.305798611109,45482.309537037036,IP Address,100,322,True,45482.30954263889,R_2LjdEdxv8C4RG8H,anonymous,EN,1,NA,0,0,NA,0,0,1.1339999999999999,0,Подтверждаю,49,Пензенская область,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,Высшее образование (бакалавриат / специалитет),Постоянно,Совершенно согласны,"Телевидение ,Интернет-ресурсы",Одобряю,"Подчиняться закону во всех случаях, без исключений",Владимир Путин,NA,NA,NA,NA,Полностью оправданы (10),NA,NA,NA,Совсем не репрессивными (10),Полностью соблюдаются,Скорее соблюдаются,Полностью соблюдаются,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,5 Голосование влияет на ситуацию в стране,NA,NA,Определенно поддерживаю,1.5–3 часа,NA,NA,Скорее не оправдана,Определенно поддерживаю,1.5–3 часа,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало значительно лучше, чем раньше",но проверяй.,врагу.,85,Qual0196-1602Russia_Wave2,322,NA,NA,7fOtJddHWXOmeBA9b8LBzU,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,49,NA,322,DV1E|DV2,DV3C|DV4A,DV5C|DV5D|DV4B,trust_always|trust_never,BA+,Man,45-54,46197.19047619047,42,0.029661016949152543,July Survey,1940282,0.016241220939314113,Census 2020,0.5475611630968759
45482.305949074071,45482.309548611112,IP Address,100,311,True,45482.309557638888,R_8YFAqHM8uRreU7m,anonymous,EN,1,NA,0,0,NA,0,0,1.1120000000000001,0,Подтверждаю,41,Москва,Москва,Мужской,Высшее образование (бакалавриат / специалитет),Постоянно,Скорее согласны,Социальные сети и мессенджеры,Одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Владимир Путин,Полностью оправданы (10),NA,NA,NA,NA,NA,NA,NA,Совсем не репрессивными (10),Полностью соблюдаются,Полностью соблюдаются,Полностью соблюдаются,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,5 Голосование влияет на ситуацию в стране,NA,NA,Определенно поддерживаю,Затрудняюсь ответить,NA,Скорее не оправдана,NA,Определенно поддерживаю,Затрудняюсь ответить,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна",Практически ничего не изменилось,"Стало значительно лучше, чем раньше",Себе,Предателю,79,Qual0196-1602Russia_Wave2,311,NA,NA,6TDJZw0yPT9XbBi4cQ6vgy,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,41,NA,311,DV1A|DV2,DV3C|DV4A,DV5B|DV5D|DV4B,trust_always|trust_never,BA+,Man,35-44,130683.79166666669,24,0.01694915254237288,July Survey,3136411,0.026253474498807453,Census 2020,1.5489549954296398
45482.306932870371,45482.310069444444,IP Address,100,270,True,45482.310078842595,R_8q7xDcYAf7Py33j,anonymous,EN,1,NA,0,0,NA,0,0,1.202,0,Подтверждаю,47,Ростовская область,В городе 250-500 тыс. жителей,Женский,Незаконченное высшее (не менее трех курсов вуза),Иногда,Скорее согласны,Затрудняюсь ответить,Затрудняюсь ответить,"Подчиняться закону во всех случаях, без исключений",Затрудняюсь ответить,Затрудняюсь ответить,NA,NA,NA,NA,NA,NA,NA,Совсем не репрессивными (10),Скорее соблюдаются,Затрудняюсь ответить,Затрудняюсь ответить,Совершенно оправданно,Затрудняюсь ответить,Скорее не оправдано,5 Голосование влияет на ситуацию в стране,NA,NA,Скорее поддерживаю,Затрудняюсь ответить,NA,NA,Затрудняюсь ответить,Скорее поддерживаю,Затрудняюсь ответить,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше",Затрудняюсь ответить,себе,никому,370,Qual0196-1602Russia_Wave2,270,NA,NA,7axMluLpImrlyT5iKrt6oM,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,47,NA,270,DV1A|DV2,DV3C|DV4A,DV5C|DV5D|DV4B,trust_never|trust_always,BA-,Woman,45-54,79836.2258064516,93,0.06567796610169492,July Survey,7424769,0.062149375066289494,Census 2020,0.9462743558480207
45482.30709490741,45482.310208333336,IP Address,100,269,True,45482.310225810186,R_8Yf6PFlLKMDfX0K,anonymous,EN,1,NA,0,0,NA,0,0,1.1100000000000001,0,Подтверждаю,45,Москва,Москва,Мужской,Высшее образование (магистратура),Постоянно,Совершенно согласны,"Телевидение ,Интернет-ресурсы",Одобряю,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Владимир Путин,NA,NA,NA,NA,NA,Полностью оправданы (10),NA,NA,Совсем не репрессивными (10),Полностью соблюдаются,Скорее соблюдаются,Полностью соблюдаются,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,5 Голосование влияет на ситуацию в стране,NA,Определенно поддерживаю,NA,Затрудняюсь ответить,Полностью не оправдана,NA,NA,Определенно поддерживаю,Затрудняюсь ответить,"Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна","Стало немного лучше, чем раньше","Стало значительно лучше, чем раньше",родне,либералам,85,Qual0196-1602Russia_Wave2,269,NA,NA,7e6PiJzQQxYQpGAUuh5myg,5,.75,1,NA,31240753,458,NA,anonymous,NA,NA,45,NA,269,DV1F|DV2,DV3B|DV4A,DV5A|DV5D|DV4B,trust_never|trust_always,BA+,Man,45-54,46197.19047619047,42,0.029661016949152543,July Survey,1940282,0.016241220939314113,Census 2020,0.5475611630968759
